trace_index,baseline_trace,avg_no,avg_with,gain,n,avg_prefix_len,baseline_len
35,0 5 0 10 26 5 4 0 6 5 25 5 2 3 17 18 5 0 5 5 1 12 35 6 8 7 10 0 5 7 27 5 26 1 4 13 14 16 0 5 0 27 5 0 6 0 30 10 11 5 12 5 5 7 19 20 21 23,0.4870526315789474,0.8586842105263158,0.3716315789473684,57,29.0,58.0
36,0 26 0 7 24 3 18 17 30 29 1 8 6 0 7 5 8 6 3 9 10 12 24 13 14 15 16 0 1 11 25 33 26 0 3 19 20 22 23,0.42926315789473685,0.8003947368421053,0.3711315789473684,38,19.5,39.0
37,0 6 5 35 8 5 27 26 4 12 7 5 0 5 10 4 26 0 25 5 10 3 24 5 7 17 18 5 0 1 5 12 13 7 14 5 16 0 5 18 17 0 12 27 5 5 4 29 30 5 0 1 5 28 19 5 25 20 22 23,0.5063220338983051,0.8774406779661017,0.3711186440677966,59,30.0,60.0
38,0 12 5 0 17 3 5 24 5 27 34 5 0 5 5 12 7 27 9 10 30 29 1 3 4 5 24 13 14 5 13 14 15 5 0 25 5 28 13 5 14 16 0 1 4 5 3 10 24 19 20 21 19 20 21 19 20 31 23,0.4794137931034483,0.8503620689655172,0.37094827586206897,58,29.5,59.0
39,0 5 0 7 4 26 5 5 8 3 6 0 7 10 27 5 12 3 6 5 8 5 0 5 10 6 8 5 0 5 7 10 17 12 26 5 1 4 5 3 13 14 16 0 10 29 30 8 6 19 20 31 23,0.43415384615384617,0.8041730769230769,0.37001923076923077,52,26.5,53.0
40,0 8 0 8 0 5 0 8 5 0 3 17 8 18 5 7 10 5 12 0 24 12 1 5 9 7 3 5 10 0 29 10 7 12 5 13 14 5 16 0 4 10 35 8 7 3 2 24 19 20 22 23,0.443156862745098,0.8123725490196078,0.36921568627450974,51,26.0,52.0
41,0 0 12 1 3 6 7 5 10 5 4 26 0 4 5 0 25 9 10 5 5 17 18 7 12 0 3 1 17 18 5 28 25 9 7 35 6 12 5 5 8 5 0 10 5 3 24 13 5 14 16 0 8 7 10 3 24 33 0 8 6 19 20 31 23,0.426671875,0.79584375,0.369171875,64,32.5,65.0
42,0 5 1 4 0 5 6 10 1 12 5 17 7 8 5 0 0 5 12 10 1 5 0 7 8 1 13 3 5 14 15 5 5 13 14 15 13 5 14 15 16 0 4 28 19 25 20 21 0 4 8 6 19 20 22 19 20 21 23,0.5237758620689655,0.8916724137931035,0.36789655172413793,58,29.5,59.0
43,0 3 7 10 0 8 12 4 7 10 1 3 0 8 35 6 26 9 10 30 12 4 13 14 16 0 4 7 3 10 12 0 28 8 30 19 29 20 31 23,0.5040512820512821,0.871025641025641,0.3669743589743588,39,20.0,40.0
44,0 6 4 26 25 28 7 10 0 1 29 30 12 13 5 7 9 10 14 13 14 16 0 12 5 7 10 5 0 19 20 5 22 5 0 8 0 5 1 5 6 30 35 8 27 34 19 20 31 5 23,0.50202,0.86894,0.36692,50,25.5,51.0
45,0 1 2 3 24 12 7 0 1 3 10 24 4 6 25 7 8 13 14 5 13 14 16 0 1 35 8 4 12 35 6 30 27 7 34 19 5 20 22 19 20 21 23,0.4628095238095238,0.8292142857142857,0.3664047619047619,42,21.5,43.0
46,0 1 7 10 12 4 26 28 13 25 14 0 12 11 5 30 1 29 6 28 25 8 13 14 13 14 16 0 7 6 8 19 20 21 19 20 22 0 3 12 19 7 20 10 31 23,0.4909777777777778,0.856488888888889,0.3655111111111112,45,23.0,46.0
47,0 5 10 17 0 0 5 1 25 28 5 0 8 1 6 3 4 5 26 5 25 5 0 4 5 1 3 5 6 8 27 32 34 5 0 8 7 5 13 10 12 5 14 16 0 3 24 25 6 0 6 30 29 19 20 21 23,0.5152321428571429,0.8806785714285714,0.3654464285714285,56,28.5,57.0
48,0 5 0 4 5 35 6 8 5 0 5 10 29 30 1 5 3 0 29 10 35 8 12 5 11 5 7 17 0 26 3 4 7 10 5 8 5 27 6 5 5 13 14 15 16 0 7 0 6 30 29 19 20 22 23,0.42724074074074075,0.7919814814814815,0.36474074074074075,54,27.5,55.0
49,0 6 4 3 12 7 10 26 24 1 13 14 15 5 16 0 5 12 25 0 8 12 5 7 10 5 0 17 27 5 7 34 5 0 5 1 5 19 20 31 23,0.439325,0.8037750000000001,0.3644500000000001,40,20.5,41.0
50,0 6 0 7 5 4 26 0 0 5 0 6 5 0 25 17 5 18 8 6 5 1 3 0 1 6 10 5 5 5 2 3 12 7 8 13 14 16 0 7 3 1 5 24 25 8 4 35 6 19 20 21 23,0.551076923076923,0.9148076923076923,0.3637307692307693,52,26.5,53.0
51,0 1 10 12 8 4 26 3 24 5 6 7 13 14 13 14 16 0 5 0 19 5 20 31 0 7 29 30 19 20 5 22 5 23,0.5142727272727273,0.8771515151515152,0.3628787878787879,33,17.0,34.0
52,0 11 7 12 10 0 10 4 26 0 1 33 26 6 4 13 14 15 13 5 14 16 0 27 5 0 0 11 19 5 5 20 31 19 20 21 23,0.5307499999999999,0.8933333333333332,0.36258333333333326,36,18.5,37.0
53,0 1 5 26 10 4 17 11 5 33 5 0 11 5 1 5 0 1 0 27 0 10 0 25 12 5 2 3 7 10 13 5 14 15 5 5 13 14 13 14 16 0 12 1 19 5 20 5 21 5 0 8 4 26 5 19 5 20 22 0 27 19 20 31 5 5 23,0.45962121212121215,0.8221515151515152,0.36253030303030304,66,33.5,67.0
54,0 5 1 12 5 25 7 10 5 0 6 0 5 10 12 7 4 5 26 17 18 0 7 11 8 32 33 5 3 13 5 14 5 0 30 5 13 14 13 14 5 15 16 0 10 0 4 8 19 6 5 20 21 19 20 31 19 20 31 23,0.5184576271186441,0.8803559322033899,0.36189830508474585,59,30.0,60.0
55,0 7 11 3 33 12 1 4 13 14 5 15 13 14 15 0 8 33 11 6 10 12 9 7 25 5 13 14 16 0 5 7 10 0 1 5 17 19 5 18 20 22 5 0 27 19 20 31 5 5 19 20 31 23,0.45316981132075473,0.8147358490566037,0.36156603773584894,53,27.0,54.0
56,0 25 30 3 29 8 0 8 3 28 12 7 10 24 26 4 0 11 4 5 30 26 3 33 1 13 14 15 16 0 4 12 1 7 10 19 20 22 23,0.4585789473684211,0.82,0.36142105263157887,38,19.5,39.0
57,0 10 8 35 6 12 7 0 3 26 25 4 7 10 1 0 7 8 3 6 4 10 26 13 14 5 15 16 0 3 5 1 12 24 4 25 26 10 19 20 31 23,0.4659512195121951,0.8267073170731708,0.3607560975609757,41,21.0,42.0
58,0 1 26 8 5 4 6 12 11 33 10 7 13 14 16 0 27 10 33 5 12 5 7 5 0 8 5 26 17 4 0 5 19 20 22 23,0.46448571428571434,0.8228000000000001,0.35831428571428575,35,18.0,36.0
59,0 6 5 0 5 3 17 18 5 0 25 5 7 10 0 5 12 26 6 8 0 5 8 12 5 1 3 7 24 10 0 6 27 30 29 4 1 26 3 13 24 5 14 5 5 5 16 0 8 7 9 10 35 6 12 34 19 27 20 5 31 23,0.4836885245901639,0.8414262295081967,0.35773770491803275,61,31.0,62.0
60,0 1 5 0 30 12 33 1 5 11 5 7 10 17 5 18 0 33 6 8 7 1 5 5 10 12 0 3 28 25 5 1 4 5 5 13 26 14 16 0 27 0 26 5 0 1 5 17 18 5 0 5 8 7 11 10 1 12 25 19 28 5 5 5 20 22 23,0.5141212121212122,0.8718484848484849,0.35772727272727267,66,33.5,67.0
61,0 4 17 5 18 0 3 5 30 29 5 0 25 5 5 17 6 18 2 24 3 12 0 6 10 12 5 5 33 7 5 0 5 7 35 8 0 1 9 10 6 5 5 12 7 5 27 13 14 16 0 25 0 6 3 8 2 24 26 4 19 20 21 23,0.5083809523809524,0.8655396825396826,0.35715873015873023,63,32.0,64.0
62,0 10 0 6 5 27 5 12 26 9 7 4 5 0 17 35 6 5 8 0 6 26 7 5 4 5 0 1 5 6 8 13 5 14 0 5 0 5 1 25 7 28 4 6 26 35 8 5 5 13 14 16 0 25 3 28 24 4 19 26 20 5 22 19 20 31 23,0.5061212121212122,0.8632727272727273,0.3571515151515151,66,33.5,67.0
63,0 7 5 27 5 0 8 5 0 7 4 6 5 26 0 28 9 7 10 4 5 5 26 0 5 6 35 8 5 12 7 25 1 28 26 5 13 14 13 14 5 16 0 3 17 7 18 19 20 5 21 19 20 31 23,0.49753703703703706,0.8546481481481482,0.3571111111111111,54,27.5,55.0
64,0 5 35 6 12 7 4 1 26 3 35 8 10 13 14 13 14 15 16 0 5 19 20 21 5 0 17 5 0 12 0 5 1 4 27 5 19 20 22 23,0.4877948717948718,0.8444615384615384,0.3566666666666666,39,20.0,40.0
65,0 11 4 26 12 8 6 3 24 10 9 7 1 28 13 25 14 5 13 14 16 0 3 7 10 12 1 19 20 22 0 10 19 20 31 23,0.5225428571428572,0.8778,0.3552571428571428,35,18.0,36.0
66,0 4 5 26 0 4 5 0 8 0 7 8 5 6 5 0 17 26 4 1 5 3 10 27 5 12 5 0 4 1 3 30 29 12 5 13 5 7 5 14 10 16 0 12 35 8 6 0 30 1 3 26 4 19 20 22 23,0.4788035714285714,0.8327857142857144,0.35398214285714297,56,28.5,57.0
67,0 26 0 24 3 4 29 10 1 12 7 0 7 13 14 15 13 14 15 16 0 5 7 30 29 3 12 9 10 19 20 21 19 20 21 23,0.5952571428571428,0.9490857142857144,0.3538285714285716,35,18.0,36.0
68,0 4 26 2 3 0 10 7 2 3 1 5 24 30 13 14 13 14 15 13 14 16 0 6 1 4 2 3 26 5 24 19 20 21 19 20 31 19 20 22 23,0.591,0.9435499999999999,0.3525499999999999,40,20.5,41.0
69,0 5 0 0 3 5 10 12 0 10 5 27 17 34 1 5 3 5 0 7 5 4 26 0 6 0 12 5 3 5 13 14 16 0 5 4 25 28 0 6 0 17 5 27 5 0 11 8 5 19 35 6 5 20 22 23,0.5519090909090909,0.9044181818181819,0.352509090909091,55,28.0,56.0
