trace_index,baseline_trace,n,avg_no,avg_with,gain,x,y
26,0 1 784 3 18 12 13 16 10,35,0.248,0.39799999999999996,0.14999999999999997,0.12824193130875675,0.16982712261692812
27,0 1 785 3 21 12 13 16 10,35,0.2581428571428572,0.40171428571428575,0.14357142857142857,0.11504014951840845,0.16554601051098725
28,825 1 2 3 22 12 13 16 10,35,0.2687142857142857,0.41157142857142853,0.14285714285714285,0.25627061067636486,0.37801270971496853
29,0 1 9 1001,15,0.3473333333333333,0.47633333333333333,0.129,-0.07064370102233941,-0.462705359751802
30,0 690 2 3 21 12 13 16 691 10,40,0.21825,0.34475,0.1265,0.2732416575464671,0.4438815804850442
31,0 1 2 3 18 12 13 734 10,40,0.2475,0.3725,0.125,0.202325220774136,0.17472137634647056
32,0 1 873 3 4 5 5 874 7 14,40,0.3115,0.43587499999999996,0.12437499999999996,0.45737167433375026,-0.40308365505178484
33,0 1 2 11 987 13,30,0.29333333333333333,0.4106666666666667,0.11733333333333335,-0.08871806283867491,0.38967615446069587
34,0 1 2 3 4 5 6 1018 8,40,0.38675000000000004,0.504,0.11724999999999997,0.4880703938763832,-0.08736099013473897
35,0 890 9 10,15,0.5646666666666665,0.6806666666666668,0.11600000000000021,-0.4884849304141343,-0.3039483345740137
36,0 781 2 3 22 12 12 13 16 10,40,0.25225,0.366375,0.11412500000000003,0.2918734771187328,0.41879209673925744
37,0 1 2 3 4 5 6 932 14,40,0.33787500000000004,0.448125,0.11024999999999996,0.4524727804220024,-0.15760930909918042
38,882 1 2 11 12 13,30,0.3596666666666667,0.4638333333333333,0.10416666666666663,0.03822514301379041,0.5612160214882289
39,1 9 698,10,0.1,0.2,0.1,-0.019565536496848977,-0.6758146863528771
40,1 9 967,10,0.1,0.2,0.1,-0.030249123147248952,-0.6767506013490043
41,0 1 2 3 18 12 993 16 10,40,0.35225,0.45225,0.09999999999999998,0.20430611424835707,0.10398765356472842
42,0 1 9 10 1028,15,0.3343333333333333,0.43233333333333335,0.09800000000000003,-0.2352787513151287,-0.3590726758745215
43,0 997 2 11 12 13,25,0.5864,0.6828,0.09639999999999993,-0.06899028671541638,0.5605352582974948
44,0 1 2 11 12 1027 16 10,35,0.414,0.5084285714285715,0.09442857142857147,-0.11448333177890348,0.22891997965773073
45,0 1 722 11 12 13 16 10,35,0.5648571428571428,0.6592857142857143,0.09442857142857142,-0.22137470856679953,0.28836042075159596
46,0 1 9 689,15,0.19866666666666666,0.2856666666666667,0.08700000000000002,-0.08949904649414862,-0.44985569847646917
47,0 1 9 928,15,0.19866666666666666,0.2856666666666667,0.08700000000000002,-0.10274828488524458,-0.4484703639153038
48,0 1 9 708,15,0.3096666666666667,0.3966666666666666,0.08699999999999991,-0.10991947302238256,-0.4410066826641226
49,763 1 9 10,15,0.6943333333333332,0.7776666666666666,0.08333333333333337,-0.30201697027252683,-0.4846207709809669
50,0 1 2 11 12 13 951 10,35,0.3835714285714286,0.4644285714285714,0.0808571428571428,-0.08364544999857199,0.2732742666020167
51,0 1 2 11 786 12 13,30,0.5125,0.5926666666666667,0.08016666666666672,0.07607666881094446,0.4194195025281595
52,0 816 2 817 3 4 5 6 7 14,45,0.49988888888888894,0.5782222222222222,0.07833333333333325,0.6254049727823228,-0.2304726564701543
53,1023 1 2 11 12 13,25,0.6315999999999999,0.7066,0.07500000000000007,0.013411927048429908,0.5630381809485584
54,0 1 9 10 692,15,0.336,0.411,0.07499999999999996,-0.22844436442339608,-0.362580404004373
55,0 1 9 10 717,15,0.336,0.411,0.07499999999999996,-0.2428815846077719,-0.35509064540136026
56,0 1 9 810 10,15,0.336,0.411,0.07499999999999996,-0.19701326590997598,-0.2822228143861276
57,0 1 891 10,15,0.5693333333333332,0.643,0.07366666666666677,-0.2969442753135225,-0.14822517102698726
58,0 1 9 1014,15,0.4026666666666667,0.47633333333333333,0.07366666666666666,-0.06912729527388345,-0.4217826589946415
59,0 1 941 10,15,0.4026666666666667,0.47633333333333333,0.07366666666666666,-0.29351275437947627,-0.1635046085141917
60,0 1 991 10,15,0.3026666666666667,0.3763333333333333,0.0736666666666666,-0.2860948979956898,-0.1575214842018107
61,0 1 2 2 3 4 895 6 7 8,45,0.34955555555555556,0.4171111111111111,0.06755555555555554,0.5497845871784677,-0.05389421449583047
62,0 1 2 3 738 12 739 16 10,40,0.39425,0.44425,0.04999999999999999,0.18123107304837194,0.08175468056864625
63,0 1011 2 11 12 13,25,0.6315999999999999,0.68,0.04840000000000011,-0.04986801335462663,0.5614069806546066
64,0 1 1010 10,15,0.5396666666666667,0.5873333333333334,0.047666666666666635,-0.36368292597617224,-0.09261442795194812
65,0 1 2 942 18 12 13,35,0.33914285714285713,0.3851428571428572,0.04600000000000004,0.19388898666074816,0.3591519361755593
66,1 2 962 4 5 6 7 14,35,0.6372857142857142,0.682,0.04471428571428582,0.6852876289012108,-0.311033148015619
67,0 1 2 798 3 18 12 13,35,0.5984285714285714,0.642,0.043571428571428594,0.3822699151259714,0.26609563372646494
68,0 751 9 10,15,0.7916666666666666,0.8333333333333334,0.04166666666666674,-0.5049123323121204,-0.2932789797557831
69,0 764 9 10,15,0.639,0.6806666666666668,0.04166666666666674,-0.5316586262079631,-0.24423069824869809
70,0 801 9 10,15,0.7916666666666666,0.8333333333333334,0.04166666666666674,-0.5476768493824811,-0.2009721885135053
71,0 746 9 10,15,0.48333333333333334,0.525,0.041666666666666685,-0.5226597220739763,-0.24691179487010112
72,0 750 9 10,15,0.4723333333333333,0.514,0.041666666666666685,-0.48260968404893556,-0.32093448990760687
73,0 775 9 10,15,0.4643333333333333,0.506,0.041666666666666685,-0.5008879880499304,-0.28398380132966955
74,0 799 9 10,15,0.4693333333333333,0.511,0.041666666666666685,-0.5425679066047914,-0.21319117048635597
75,0 836 9 10,15,0.4723333333333333,0.514,0.041666666666666685,-0.5363144680655831,-0.2324354168052679
76,0 867 9 10,15,0.48333333333333334,0.525,0.041666666666666685,-0.49455386377827526,-0.29403059020033073
77,0 872 9 10,15,0.4723333333333333,0.514,0.041666666666666685,-0.4917370971492564,-0.31232822908659497
78,0 884 9 10,15,0.49066666666666664,0.5323333333333333,0.041666666666666685,-0.5121306465380774,-0.2829912461103046
79,0 898 9 10,15,0.4723333333333333,0.514,0.041666666666666685,-0.526096041654648,-0.2555550107594287
80,0 934 9 10,15,0.4723333333333333,0.514,0.041666666666666685,-0.5360909283720022,-0.22497234902680965
81,0 935 9 10,15,0.49066666666666664,0.5323333333333333,0.041666666666666685,-0.48419305665791573,-0.3144813544148654
82,0 919 9 10,15,0.5323333333333333,0.574,0.04166666666666663,-0.5125766883540108,-0.2685965333966954
83,0 1022 2 3 18 12 13 16 10,40,0.685875,0.727125,0.04125000000000001,0.2506609350052125,0.3461401079545854
84,0 1 9 735,15,0.246,0.2856666666666667,0.03966666666666668,-0.06271700558838618,-0.44591961543566244
85,0 1 9 730,15,0.357,0.3966666666666666,0.03966666666666663,-0.07812372237725627,-0.41735170681711964
86,0 1 9 699,15,0.19866666666666666,0.238,0.03933333333333333,-0.0722530937121157,-0.4350263342433321
87,0 1 9 745,15,0.19866666666666666,0.238,0.03933333333333333,-0.07485959815447074,-0.4519284752769805
88,0 1 9 747,15,0.19866666666666666,0.238,0.03933333333333333,-0.10432241772354205,-0.43085422238559384
89,0 1 9 756,15,0.19866666666666666,0.238,0.03933333333333333,-0.054935163286778436,-0.43942090492262825
90,0 1 9 855,15,0.19866666666666666,0.238,0.03933333333333333,-0.09439873625327883,-0.4578627605981986
91,0 1 9 926,15,0.19866666666666666,0.238,0.03933333333333333,-0.061548221413911364,-0.45920948803716233
92,0 1 9 929,15,0.19866666666666666,0.238,0.03933333333333333,-0.09279351899096015,-0.4255494068204547
93,0 1 9 996,15,0.19866666666666666,0.238,0.03933333333333333,-0.08693524789707083,-0.4122765979078331
94,0 1 2 3 970 12 13 16 10,35,0.4501428571428572,0.48914285714285716,0.03899999999999998,0.14995512234675945,0.2023476948379738
95,0 1 1009 10,15,0.23966666666666664,0.2766666666666666,0.03699999999999998,-0.3235992235789266,-0.1500118896282785
96,0 1 9 1020 10,15,0.32766666666666666,0.36466666666666664,0.03699999999999998,-0.20195182373579895,-0.27171000073047685
97,0 1000 9 10,15,0.7776666666666666,0.8146666666666665,0.03699999999999992,-0.528827800339532,-0.23588737383832648
98,0 1019 9 10,15,0.7776666666666666,0.8146666666666665,0.03699999999999992,-0.5074577355443828,-0.27519115261903093
99,0 1030 9 10,15,0.7776666666666666,0.8146666666666665,0.03699999999999992,-0.5210264620202321,-0.26701589756964794
100,0 1 9 765 10,15,0.336,0.36933333333333335,0.033333333333333326,-0.19065931374785716,-0.28024079053918066
101,0 1 9 859 10,15,0.336,0.36933333333333335,0.033333333333333326,-0.20803356848262483,-0.27056356123163483
102,0 1 9 947 10,15,0.336,0.36933333333333335,0.033333333333333326,-0.19517992239771426,-0.2739166833954807
103,0 1 9 964 10,15,0.336,0.36933333333333335,0.033333333333333326,-0.20531660195454032,-0.27937574396489423
104,0 1 901 11 12 13 16 10,30,0.4436666666666667,0.4765,0.03283333333333327,-0.2188029401012524,0.292901835073655
105,0 1 9 931,15,0.3013333333333333,0.3333333333333333,0.03200000000000003,-0.0971912861759487,-0.41032979594433433
106,0 1 731 10,15,0.4026666666666667,0.43466666666666665,0.03199999999999997,-0.3956959960141714,-0.08006127154884539
107,0 1 771 10,15,0.2776666666666667,0.30966666666666665,0.03199999999999997,-0.3383165165047718,-0.11384640882251496
108,0 1 9 742,15,0.254,0.2856666666666667,0.031666666666666676,-0.08599526053038198,-0.4372979674445332
109,0 1 9 971,15,0.254,0.2856666666666667,0.031666666666666676,-0.11512215396612478,-0.42878420325927546
110,0 1 9 714,15,0.36500000000000005,0.3966666666666666,0.031666666666666565,-0.10649006034637322,-0.41236239164066707
111,0 1 9 716,15,0.36500000000000005,0.3966666666666666,0.031666666666666565,-0.060845889830409644,-0.42967434398074095
112,0 1 9 916,15,0.36500000000000005,0.3966666666666666,0.031666666666666565,-0.11366843321779524,-0.4180884750520421
113,0 1 9 954,20,0.149,0.1785,0.0295,-0.08189932695654048,-0.46199165756769406
114,0 1 1 2 3 4 5 6 876 14,45,0.5203333333333333,0.5467777777777778,0.026444444444444493,0.46373968685992983,-0.23691936682469644
115,0 1 824 11 12,25,0.30400000000000005,0.33020000000000005,0.0262,-0.386334867195519,0.27822143502540275
